call_id,transcription,duration,label,features
CALL_1021,"Hey, can you send me the reports for the quarterly budget? We need to submit it to the manager by evening.",551,normal,"personal,business,advisory"
CALL_1022,TRAI warning: Mobile connection block in 1 hour. Press 9 to talk to executive about verification.,268,scam,"digital_arrest,threat,verification"
CALL_1023,"Hello, this is Delhi Customs. We have intercepted a parcel sent in your name containing illegal passports and synthetic drugs. To avoid immediate police arrest, you must cooperate with our officers over Skype.",94,scam,"digital_arrest,threat,verification"
CALL_1024,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 8237-2261-3862 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,616,scam,"digital_arrest,threat,verification"
CALL_1025,TRAI warning: Mobile connection block in 1 hour. Press 9 to talk to executive about verification.,479,scam,"digital_arrest,threat,verification"
CALL_1026,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 7117-6244-6411 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,110,scam,"digital_arrest,threat,verification"
CALL_1027,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 1530-1814-6005 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,303,scam,"digital_arrest,threat,verification"
CALL_1028,Urgent: CBI police officer call back immediately on 9876543210. Your card is frozen due to Mumbai court order.,665,scam,"digital_arrest,threat,verification"
CALL_1029,"Congratulations! You have won a lottery of 25 Lakh Rupees from KBC. Please pay a processing fee of Rs 25,000 to release your funds.",368,scam,"digital_arrest,threat,verification"
CALL_1030,"Hello, this is Delhi Customs. We have intercepted a parcel sent in your name containing illegal passports and synthetic drugs. To avoid immediate police arrest, you must cooperate with our officers over Skype.",510,scam,"digital_arrest,threat,verification"
CALL_1031,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 6024-3141-2170 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,627,scam,"digital_arrest,threat,verification"
CALL_1032,TRAI warning: Mobile connection block in 1 hour. Press 9 to talk to executive about verification.,43,scam,"digital_arrest,threat,verification"
CALL_1033,Calling from Enforcement Directorate. A bank account under your name has laundered 2.5 Crore rupees. You must transfer your funds to a safe government holding account for verification immediately.,327,scam,"digital_arrest,threat,verification"
CALL_1034,"Congratulations! You have won a lottery of 25 Lakh Rupees from KBC. Please pay a processing fee of Rs 25,000 to release your funds.",608,scam,"digital_arrest,threat,verification"
CALL_1035,Urgent: CBI police officer call back immediately on 9876543210. Your card is frozen due to Mumbai court order.,648,scam,"digital_arrest,threat,verification"
CALL_1036,this is custom officer. your parcel has drug. go to skype call for digital arrest process now.,250,scam,"digital_arrest,threat,verification"
CALL_1037,Calling from Enforcement Directorate. A bank account under your name has laundered 2.5 Crore rupees. You must transfer your funds to a safe government holding account for verification immediately.,684,scam,"digital_arrest,threat,verification"
CALL_1038,"Congratulations! You have won a lottery of 25 Lakh Rupees from KBC. Please pay a processing fee of Rs 25,000 to release your funds.",627,scam,"digital_arrest,threat,verification"
CALL_1039,"Dear customer, your credit card statement is ready. Please pay by the due date to avoid interest.",624,normal,"personal,business,advisory"
CALL_1040,TRAI warning: Mobile connection block in 1 hour. Press 9 to talk to executive about verification.,618,scam,"digital_arrest,threat,verification"
CALL_1041,TRAI warning: Mobile connection block in 1 hour. Press 9 to talk to executive about verification.,70,scam,"digital_arrest,threat,verification"
CALL_1042,"Hi, is this the delivery agent? I am not at home, please leave the package with the security guard.",125,normal,"personal,business,advisory"
CALL_1043,Urgent: CBI police officer call back immediately on 9876543210. Your card is frozen due to Mumbai court order.,121,scam,"digital_arrest,threat,verification"
CALL_1044,"Delhi Police Public Advisory: Beware of fraudsters impersonating CBI, ED or police on video calls. Do not agree to Skype verification or digital arrest. Report scam calls to 1930 immediately.",523,normal,"personal,business,advisory"
CALL_1045,"Hello, I am calling from your internet provider. Is your Wi-Fi connection working fine now?",129,normal,"personal,business,advisory"
CALL_1046,TRAI warning: Mobile connection block in 1 hour. Press 9 to talk to executive about verification.,284,scam,"digital_arrest,threat,verification"
CALL_1047,"Dear customer, your credit card statement is ready. Please pay by the due date to avoid interest.",507,normal,"personal,business,advisory"
CALL_1048,Calling from Enforcement Directorate. A bank account under your name has laundered 2.5 Crore rupees. You must transfer your funds to a safe government holding account for verification immediately.,87,scam,"digital_arrest,threat,verification"
CALL_1049,Urgent: CBI police officer call back immediately on 9876543210. Your card is frozen due to Mumbai court order.,439,scam,"digital_arrest,threat,verification"
CALL_1050,"Hello, I am calling from your internet provider. Is your Wi-Fi connection working fine now?",340,normal,"personal,business,advisory"
CALL_1051,"Dear customer, your credit card statement is ready. Please pay by the due date to avoid interest.",475,normal,"personal,business,advisory"
CALL_1052,Your mobile number is going to be blocked in 2 hours by TRAI due to illegal advertising. Connect to senior officials immediately by pressing 9.,532,scam,"digital_arrest,threat,verification"
CALL_1053,Your courier package from Mumbai customs requires tax payment verification. Please check status online.,19,normal,"personal,business,advisory"
CALL_1054,"Hello, this is Delhi Customs. We have intercepted a parcel sent in your name containing illegal passports and synthetic drugs. To avoid immediate police arrest, you must cooperate with our officers over Skype.",638,scam,"digital_arrest,threat,verification"
CALL_1055,TRAI warning: Mobile connection block in 1 hour. Press 9 to talk to executive about verification.,308,scam,"digital_arrest,threat,verification"
CALL_1056,Calling from Enforcement Directorate. A bank account under your name has laundered 2.5 Crore rupees. You must transfer your funds to a safe government holding account for verification immediately.,292,scam,"digital_arrest,threat,verification"
CALL_1057,this is custom officer. your parcel has drug. go to skype call for digital arrest process now.,107,scam,"digital_arrest,threat,verification"
CALL_1058,"Hi Mom, I will be late for dinner today. Please don't wait for me.",280,normal,"personal,business,advisory"
CALL_1059,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 4358-8512-3525 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,670,scam,"digital_arrest,threat,verification"
CALL_1060,"Hello, this is Delhi Customs. We have intercepted a parcel sent in your name containing illegal passports and synthetic drugs. To avoid immediate police arrest, you must cooperate with our officers over Skype.",454,scam,"digital_arrest,threat,verification"
CALL_1061,"Congratulations! You have won a lottery of 25 Lakh Rupees from KBC. Please pay a processing fee of Rs 25,000 to release your funds.",509,scam,"digital_arrest,threat,verification"
CALL_1062,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 1385-2698-5314 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,363,scam,"digital_arrest,threat,verification"
CALL_1063,"Dear customer, your credit card statement is ready. Please pay by the due date to avoid interest.",504,normal,"personal,business,advisory"
CALL_1064,this is custom officer. your parcel has drug. go to skype call for digital arrest process now.,511,scam,"digital_arrest,threat,verification"
CALL_1065,"Hi, is this the delivery agent? I am not at home, please leave the package with the security guard.",207,normal,"personal,business,advisory"
CALL_1066,Urgent: CBI police officer call back immediately on 9876543210. Your card is frozen due to Mumbai court order.,618,scam,"digital_arrest,threat,verification"
CALL_1067,this is custom officer. your parcel has drug. go to skype call for digital arrest process now.,59,scam,"digital_arrest,threat,verification"
CALL_1068,this is custom officer. your parcel has drug. go to skype call for digital arrest process now.,41,scam,"digital_arrest,threat,verification"
CALL_1069,"Hello, this is Delhi Customs. We have intercepted a parcel sent in your name containing illegal passports and synthetic drugs. To avoid immediate police arrest, you must cooperate with our officers over Skype.",174,scam,"digital_arrest,threat,verification"
CALL_1070,Your mobile number is going to be blocked in 2 hours by TRAI due to illegal advertising. Connect to senior officials immediately by pressing 9.,218,scam,"digital_arrest,threat,verification"
CALL_1071,Calling from Enforcement Directorate. A bank account under your name has laundered 2.5 Crore rupees. You must transfer your funds to a safe government holding account for verification immediately.,48,scam,"digital_arrest,threat,verification"
CALL_1072,Your courier package from Mumbai customs requires tax payment verification. Please check status online.,643,normal,"personal,business,advisory"
CALL_1073,"Hi Mom, I will be late for dinner today. Please don't wait for me.",678,normal,"personal,business,advisory"
CALL_1074,"Hey, can you send me the reports for the quarterly budget? We need to submit it to the manager by evening.",305,normal,"personal,business,advisory"
CALL_1075,"Hello, this is Delhi Customs. We have intercepted a parcel sent in your name containing illegal passports and synthetic drugs. To avoid immediate police arrest, you must cooperate with our officers over Skype.",344,scam,"digital_arrest,threat,verification"
CALL_1076,Your mobile number is going to be blocked in 2 hours by TRAI due to illegal advertising. Connect to senior officials immediately by pressing 9.,611,scam,"digital_arrest,threat,verification"
CALL_1077,HDFC Bank Security Update: Please complete your KYC verification online to keep your account active. We never ask for password.,479,normal,"personal,business,advisory"
CALL_1078,"Dear customer, your credit card statement is ready. Please pay by the due date to avoid interest.",152,normal,"personal,business,advisory"
CALL_1079,Your courier package from Mumbai customs requires tax payment verification. Please check status online.,486,normal,"personal,business,advisory"
CALL_1080,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 1846-9416-6744 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,64,scam,"digital_arrest,threat,verification"
CALL_1081,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 9176-9664-5727 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,585,scam,"digital_arrest,threat,verification"
CALL_1082,"Hi Mom, I will be late for dinner today. Please don't wait for me.",34,normal,"personal,business,advisory"
CALL_1083,Urgent: CBI police officer call back immediately on 9876543210. Your card is frozen due to Mumbai court order.,427,scam,"digital_arrest,threat,verification"
CALL_1084,Urgent: CBI police officer call back immediately on 9876543210. Your card is frozen due to Mumbai court order.,421,scam,"digital_arrest,threat,verification"
CALL_1085,TRAI official message: Please link your Aadhaar card with your mobile number to avoid disconnect. Visit nearest franchise store.,250,normal,"personal,business,advisory"
CALL_1086,"Hey, can you send me the reports for the quarterly budget? We need to submit it to the manager by evening.",264,normal,"personal,business,advisory"
CALL_1087,"Hi Mom, I will be late for dinner today. Please don't wait for me.",441,normal,"personal,business,advisory"
CALL_1088,"Congratulations! You have won a lottery of 25 Lakh Rupees from KBC. Please pay a processing fee of Rs 25,000 to release your funds.",388,scam,"digital_arrest,threat,verification"
CALL_1089,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 7461-3894-5604 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,535,scam,"digital_arrest,threat,verification"
CALL_1090,TRAI warning: Mobile connection block in 1 hour. Press 9 to talk to executive about verification.,131,scam,"digital_arrest,threat,verification"
CALL_1091,Your courier package from Mumbai customs requires tax payment verification. Please check status online.,82,normal,"personal,business,advisory"
CALL_1092,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 8099-4619-4622 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,500,scam,"digital_arrest,threat,verification"
CALL_1093,HDFC Bank Security Update: Please complete your KYC verification online to keep your account active. We never ask for password.,55,normal,"personal,business,advisory"
CALL_1094,"Hello, I am calling from your internet provider. Is your Wi-Fi connection working fine now?",413,normal,"personal,business,advisory"
CALL_1095,"Dear customer, your credit card statement is ready. Please pay by the due date to avoid interest.",593,normal,"personal,business,advisory"
CALL_1096,"Congratulations! You have won a lottery of 25 Lakh Rupees from KBC. Please pay a processing fee of Rs 25,000 to release your funds.",361,scam,"digital_arrest,threat,verification"
CALL_1097,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 9413-2874-8730 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,638,scam,"digital_arrest,threat,verification"
CALL_1098,"Delhi Police Public Advisory: Beware of fraudsters impersonating CBI, ED or police on video calls. Do not agree to Skype verification or digital arrest. Report scam calls to 1930 immediately.",453,normal,"personal,business,advisory"
CALL_1099,TRAI official message: Please link your Aadhaar card with your mobile number to avoid disconnect. Visit nearest franchise store.,582,normal,"personal,business,advisory"
CALL_1100,"Hello, this is Delhi Customs. We have intercepted a parcel sent in your name containing illegal passports and synthetic drugs. To avoid immediate police arrest, you must cooperate with our officers over Skype.",225,scam,"digital_arrest,threat,verification"
CALL_1101,Your mobile number is going to be blocked in 2 hours by TRAI due to illegal advertising. Connect to senior officials immediately by pressing 9.,231,scam,"digital_arrest,threat,verification"
CALL_1102,"Dear customer, your credit card statement is ready. Please pay by the due date to avoid interest.",121,normal,"personal,business,advisory"
CALL_1103,"Hey, can you send me the reports for the quarterly budget? We need to submit it to the manager by evening.",696,normal,"personal,business,advisory"
CALL_1104,this is custom officer. your parcel has drug. go to skype call for digital arrest process now.,382,scam,"digital_arrest,threat,verification"
CALL_1105,TRAI warning: Mobile connection block in 1 hour. Press 9 to talk to executive about verification.,247,scam,"digital_arrest,threat,verification"
CALL_1106,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 4721-2670-1995 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,296,scam,"digital_arrest,threat,verification"
CALL_1107,"Hey, can you send me the reports for the quarterly budget? We need to submit it to the manager by evening.",94,normal,"personal,business,advisory"
CALL_1108,"Hey, can you send me the reports for the quarterly budget? We need to submit it to the manager by evening.",42,normal,"personal,business,advisory"
CALL_1109,"Dear customer, your credit card statement is ready. Please pay by the due date to avoid interest.",442,normal,"personal,business,advisory"
CALL_1110,Urgent: CBI police officer call back immediately on 9876543210. Your card is frozen due to Mumbai court order.,214,scam,"digital_arrest,threat,verification"
CALL_1111,Your courier package from Mumbai customs requires tax payment verification. Please check status online.,463,normal,"personal,business,advisory"
CALL_1112,"Delhi Police Public Advisory: Beware of fraudsters impersonating CBI, ED or police on video calls. Do not agree to Skype verification or digital arrest. Report scam calls to 1930 immediately.",480,normal,"personal,business,advisory"
CALL_1113,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 5141-4738-2244 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,44,scam,"digital_arrest,threat,verification"
CALL_1114,Your courier package from Mumbai customs requires tax payment verification. Please check status online.,25,normal,"personal,business,advisory"
CALL_1115,TRAI official message: Please link your Aadhaar card with your mobile number to avoid disconnect. Visit nearest franchise store.,254,normal,"personal,business,advisory"
CALL_1116,"Hello, I am calling from your internet provider. Is your Wi-Fi connection working fine now?",197,normal,"personal,business,advisory"
CALL_1117,this is custom officer. your parcel has drug. go to skype call for digital arrest process now.,135,scam,"digital_arrest,threat,verification"
CALL_1118,"Hey, can you send me the reports for the quarterly budget? We need to submit it to the manager by evening.",336,normal,"personal,business,advisory"
CALL_1119,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 6173-5467-7034 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,70,scam,"digital_arrest,threat,verification"
CALL_1120,"Hello, I am calling from your internet provider. Is your Wi-Fi connection working fine now?",371,normal,"personal,business,advisory"
CALL_1121,"Delhi Police Public Advisory: Beware of fraudsters impersonating CBI, ED or police on video calls. Do not agree to Skype verification or digital arrest. Report scam calls to 1930 immediately.",55,normal,"personal,business,advisory"
CALL_1122,Your courier package from Mumbai customs requires tax payment verification. Please check status online.,222,normal,"personal,business,advisory"
CALL_1123,Urgent: CBI police officer call back immediately on 9876543210. Your card is frozen due to Mumbai court order.,138,scam,"digital_arrest,threat,verification"
CALL_1124,HDFC Bank Security Update: Please complete your KYC verification online to keep your account active. We never ask for password.,145,normal,"personal,business,advisory"
CALL_1125,"Congratulations! You have won a lottery of 25 Lakh Rupees from KBC. Please pay a processing fee of Rs 25,000 to release your funds.",260,scam,"digital_arrest,threat,verification"
CALL_1126,Your mobile number is going to be blocked in 2 hours by TRAI due to illegal advertising. Connect to senior officials immediately by pressing 9.,136,scam,"digital_arrest,threat,verification"
CALL_1127,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 4738-9770-2460 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,286,scam,"digital_arrest,threat,verification"
CALL_1128,TRAI warning: Mobile connection block in 1 hour. Press 9 to talk to executive about verification.,110,scam,"digital_arrest,threat,verification"
CALL_1129,Your mobile number is going to be blocked in 2 hours by TRAI due to illegal advertising. Connect to senior officials immediately by pressing 9.,639,scam,"digital_arrest,threat,verification"
CALL_1130,"Hi Mom, I will be late for dinner today. Please don't wait for me.",317,normal,"personal,business,advisory"
CALL_1131,"Hello, this is Delhi Customs. We have intercepted a parcel sent in your name containing illegal passports and synthetic drugs. To avoid immediate police arrest, you must cooperate with our officers over Skype.",39,scam,"digital_arrest,threat,verification"
CALL_1132,HDFC Bank Security Update: Please complete your KYC verification online to keep your account active. We never ask for password.,261,normal,"personal,business,advisory"
CALL_1133,"Hi, is this the delivery agent? I am not at home, please leave the package with the security guard.",324,normal,"personal,business,advisory"
CALL_1134,"Hey, can you send me the reports for the quarterly budget? We need to submit it to the manager by evening.",176,normal,"personal,business,advisory"
CALL_1135,TRAI warning: Mobile connection block in 1 hour. Press 9 to talk to executive about verification.,584,scam,"digital_arrest,threat,verification"
CALL_1136,this is custom officer. your parcel has drug. go to skype call for digital arrest process now.,286,scam,"digital_arrest,threat,verification"
CALL_1137,Your courier package from Mumbai customs requires tax payment verification. Please check status online.,621,normal,"personal,business,advisory"
CALL_1138,Calling from Enforcement Directorate. A bank account under your name has laundered 2.5 Crore rupees. You must transfer your funds to a safe government holding account for verification immediately.,693,scam,"digital_arrest,threat,verification"
CALL_1139,"Dear customer, your credit card statement is ready. Please pay by the due date to avoid interest.",104,normal,"personal,business,advisory"
CALL_1140,"Congratulations! You have won a lottery of 25 Lakh Rupees from KBC. Please pay a processing fee of Rs 25,000 to release your funds.",630,scam,"digital_arrest,threat,verification"
CALL_1141,"Hey, can you send me the reports for the quarterly budget? We need to submit it to the manager by evening.",586,normal,"personal,business,advisory"
CALL_1142,TRAI warning: Mobile connection block in 1 hour. Press 9 to talk to executive about verification.,180,scam,"digital_arrest,threat,verification"
CALL_1143,"Hello, this is Delhi Customs. We have intercepted a parcel sent in your name containing illegal passports and synthetic drugs. To avoid immediate police arrest, you must cooperate with our officers over Skype.",250,scam,"digital_arrest,threat,verification"
CALL_1144,"Hi Mom, I will be late for dinner today. Please don't wait for me.",161,normal,"personal,business,advisory"
CALL_1145,Calling from Enforcement Directorate. A bank account under your name has laundered 2.5 Crore rupees. You must transfer your funds to a safe government holding account for verification immediately.,368,scam,"digital_arrest,threat,verification"
CALL_1146,HDFC Bank Security Update: Please complete your KYC verification online to keep your account active. We never ask for password.,37,normal,"personal,business,advisory"
CALL_1147,"Hello, I am calling from your internet provider. Is your Wi-Fi connection working fine now?",195,normal,"personal,business,advisory"
CALL_1148,HDFC Bank Security Update: Please complete your KYC verification online to keep your account active. We never ask for password.,484,normal,"personal,business,advisory"
CALL_1149,"Hello, I am calling from your internet provider. Is your Wi-Fi connection working fine now?",415,normal,"personal,business,advisory"
CALL_1150,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 9518-5767-2495 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,175,scam,"digital_arrest,threat,verification"
